Rk,School,Conf,ORtg,DRtg,NRtg,NCAA_Name,NCAA_Name_2
1,Gonzaga,WCC,125.55,89.55,36.01,Gonzaga,Gonzaga
2,Illinois,Big Ten,120.64,85.97,34.68,Illinois,Illinois
3,Michigan,Big Ten,120.64,86.59,34.05,Michigan,Michigan
4,Baylor,Big 12,123.92,91,32.92,Baylor,Baylor
5,Iowa,Big Ten,126.29,93.39,32.9,Iowa,Iowa
6,Houston,AAC,120.09,86.62,33.47,Houston,Houston
7,Alabama,SEC,112.67,84.58,28.1,Alabama,Alabama
8,Ohio State,Big Ten,122.61,93.79,28.82,Ohio St.,Ohio St.
9,Colgate,Patriot,119.08,93.66,25.42,Colgate,Colgate
10,Villanova,Big East,120.02,93.41,26.61,Villanova,Villanova
11,Arkansas,SEC,113.39,88.45,24.94,Arkansas,Arkansas
12,Tennessee,SEC,111.42,85.1,26.32,Tennessee,Tennessee
13,Florida State,ACC,117.65,91.26,26.39,Florida St.,Florida St.
14,Wisconsin,Big Ten,113.09,86.79,26.3,Wisconsin,Wisconsin
15,Creighton,Big East,116.16,91.2,24.96,Creighton,Creighton
16,Purdue,Big Ten,115.35,89.74,25.61,Purdue,Purdue
17,Southern California,Pac-12,113.97,88.86,25.11,Southern California,Southern California
18,Connecticut,Big East,114.36,89.7,24.66,Connecticut,UConn
19,Colorado,Pac-12,115.56,90.72,24.84,Colorado,Colorado
20,Virginia,ACC,118.28,91.96,26.32,Virginia,Virginia
21,Kansas,Big 12,111.98,87.66,24.31,Kansas,Kansas
22,Texas Tech,Big 12,112.84,88.51,24.33,Texas Tech,Texas Tech
23,North Carolina,ACC,111.02,87.64,23.38,North Carolina,North Carolina
24,Texas,Big 12,114.55,91.16,23.39,Texas,Texas
25,West Virginia,Big 12,116.27,93.29,22.98,West Virginia,West Virginia
26,Louisiana State,SEC,120.97,98.25,22.72,Louisiana St.,LSU
27,Maryland,Big Ten,114.06,91.31,22.75,Maryland,Maryland
28,Rutgers,Big Ten,109.89,88.08,21.81,Rutgers,Rutgers
29,St. Bonaventure,A-10,112.76,89.28,23.48,St. Bonaventure,St. Bonaventure
30,Florida,SEC,112.34,90.95,21.4,Florida,Florida
31,Penn State,Big Ten,113.8,92.07,21.73,Penn St.,Penn St.
32,San Diego State,MWC,111.38,89.6,21.78,San Diego St.,San Diego St.
33,Loyola (IL),MVC,111.63,87.81,23.82,Loyola (IL),Loyola Chicago
34,Brigham Young,WCC,112.92,91.44,21.48,Brigham Young,BYU
35,Oklahoma State,Big 12,109.77,89.66,20.11,Oklahoma St.,Oklahoma St.
36,Georgia Tech,ACC,115.35,94.12,21.24,Georgia Tech,Georgia Tech
37,Duke,ACC,115.98,93.98,22,Duke,Duke
38,Indiana,Big Ten,110.74,91.16,19.58,Indiana,Indiana
39,Syracuse,ACC,113.94,93.73,20.21,Syracuse,Syracuse
40,Oklahoma,Big 12,112.79,93.24,19.55,Oklahoma,Oklahoma
41,Virginia Tech,ACC,111.83,91.69,20.14,Virginia Tech,Virginia Tech
42,Oregon,Pac-12,114.97,94.94,20.04,Oregon,Oregon
43,Clemson,ACC,108.52,88.38,20.15,Clemson,Clemson
44,Saint Louis,A-10,112.28,92.76,19.53,Saint Louis,Saint Louis
45,Memphis,AAC,103.27,85.47,17.81,Memphis,Memphis
46,Missouri,SEC,111.36,93.08,18.29,Missouri,Missouri
47,Arizona,Pac-12,113.86,95.22,18.64,Arizona,Arizona
48,Kentucky,SEC,108.83,90.77,18.07,Kentucky,Kentucky
49,UCLA,Pac-12,114.28,95.93,18.36,UCLA,UCLA
50,Virginia Commonwealth,A-10,106.18,87.75,18.43,Virginia Commonwealth,VCU
51,Minnesota,Big Ten,108.8,91.8,16.99,Minnesota,Minnesota
52,Seton Hall,Big East,111.04,93.48,17.57,Seton Hall,Seton Hall
53,Mississippi,SEC,106.06,88.12,17.95,Mississippi,Ole Miss
54,Xavier,Big East,110.74,93.57,17.17,Xavier,Xavier
55,Georgetown,Big East,108.04,91.04,17,Georgetown,Georgetown
56,Utah State,MWC,105.85,89.29,16.56,Utah St.,Utah St.
57,Louisville,ACC,110.15,93.09,17.06,Louisville,Louisville
58,Southern Methodist,AAC,109.79,93.88,15.91,Southern Methodist,SMU
59,Michigan State,Big Ten,107.82,92.23,15.6,Michigan St.,Michigan St.
60,Northwestern,Big Ten,106.89,91.53,15.36,Northwestern,Northwestern
61,Davidson,A-10,114.92,98.83,16.09,Davidson,Davidson
62,Auburn,SEC,111.47,96.24,15.23,Auburn,Auburn
63,St. John's (NY),Big East,111.19,96.26,14.92,St. John's (NY),St. John's (NY)
64,North Carolina State,ACC,111.11,95.98,15.13,North Carolina St.,NC State
65,Providence,Big East,108.38,94,14.37,Providence,Providence
66,Boise State,MWC,108.96,95.13,13.84,Boise St.,Boise St.
67,Drake,MVC,113.89,99.02,14.87,Drake,Drake
68,Richmond,A-10,111.55,97.01,14.54,Richmond,Richmond
69,Wichita State,AAC,109.77,95.57,14.2,Wichita St.,Wichita St.
70,Utah,Pac-12,111.1,97.24,13.86,Utah,Utah
71,Marquette,Big East,108.33,95.24,13.09,Marquette,Marquette
72,Mississippi State,SEC,107.3,93.97,13.33,Mississippi St.,Mississippi St.
73,Pittsburgh,ACC,109.45,96.51,12.94,Pittsburgh,Pittsburgh
74,Notre Dame,ACC,115.14,101.85,13.29,Notre Dame,Notre Dame
75,Colorado State,MWC,107.68,94.86,12.82,Colorado St.,Colorado St.
76,Stanford,Pac-12,104.54,92.81,11.73,Stanford,Stanford
77,Wright State,Horizon,106.46,95.7,10.76,Wright St.,Wright St.
78,Toledo,MAC (West),111.87,100.94,10.93,Toledo,Toledo
79,Oregon State,Pac-12,110.14,98.49,11.65,Oregon St.,Oregon St.
80,Buffalo,MAC (East),106.16,96.07,10.09,Buffalo,Buffalo
81,Saint Mary's (CA),WCC,101.47,90.01,11.46,Saint Mary's (CA),Saint Mary's (CA)
82,Dayton,A-10,109.47,97.91,11.56,Dayton,Dayton
83,North Texas,CUSA,105.3,93.77,11.53,North Texas,North Texas
84,Nebraska,Big Ten,102.64,91.34,11.3,Nebraska,Nebraska
85,Georgia,SEC,108.93,97.83,11.11,Georgia,Georgia
86,Vanderbilt,SEC,109.55,99.24,10.31,Vanderbilt,Vanderbilt
87,Louisiana Tech,CUSA,102.88,93.04,9.85,Louisiana Tech,Louisiana Tech
88,Furman,Southern,110.05,100.47,9.57,Furman,Furman
89,Abilene Christian,Southland,102,92.97,9.03,Abilene Christian,Abilene Christian
90,Rhode Island,A-10,103.87,94.71,9.16,Rhode Island,Rhode Island
91,Central Florida,AAC,107.42,97.92,9.5,Central Florida,UCF
92,UC-Santa Barbara,Big West,107.68,96.99,10.69,UC-Santa Barbara,UC Santa Barbara
93,Marshall,CUSA,108.73,100.12,8.61,Marshall,Marshall
94,Massachusetts,A-10,106.78,98.31,8.47,Massachusetts,Massachusetts
95,Ohio,MAC (East),110.82,102.72,8.11,Ohio,Ohio
96,Alabama-Birmingham,CUSA,103.18,94.19,8.99,Alabama-Birmingham,UAB
97,Washington State,Pac-12,100.9,92.15,8.75,Washington St.,Washington St.
98,Butler,Big East,103.97,95.92,8.05,Butler,Butler
99,Western Kentucky,CUSA,105.31,97.13,8.17,Western Kentucky,Western Ky.
100,Arizona State,Pac-12,107.75,99.33,8.42,Arizona St.,Arizona St.
