Player,Team,GP,GS,MINS,oPOSS,PTS,ORB,DRB,AST,STL,BLK,TOV,PF,PCT_FGA_trans,PCT_FGM_ast,TS.,eFG.,FGM,FGA,FG.,TPM,TPA,TP.,FTM,FTA,FT.,RIMM,RIMA,RIM.,MIDM,MIDA,MID.
AAMIR.SIMMS_Clemson,Clemson,5,5,171.116,274,67,8,27,15,3,5,14,13,0.096,0.655,0.633,0.635,29,52,0.558,8,14,0.571,1,2,0.5,19,30,0.633,2,8,0.25
AANEN.MOODY_Southern Utah,Southern Utah,6,0,56.651,109,11,0,5,3,2,2,0,3,0.231,0.75,0.423,0.423,4,13,0.308,3,9,0.333,0,0,0,1,2,0.5,0,2,0
AARON.CLARKE_Sacred Heart,Sacred Heart,4,4,144.199,251,56,1,6,20,2,0,5,6,0.118,0.471,0.478,0.422,17,51,0.333,9,30,0.3,13,16,0.812,5,11,0.455,3,10,0.3
AARON.COOK_Gonzaga,Gonzaga,3,0,38.265,74,10,1,4,4,0,0,4,5,0.125,0,0.482,0.375,3,8,0.375,0,1,0,4,5,0.8,3,6,0.5,0,1,0
AARON.DUHART_Army West Point,Army West Point,5,0,48.401,94,2,0,7,4,2,0,1,1,0.222,0,0.111,0.111,1,9,0.111,0,7,0,0,0,0,0,0,0,1,2,0.5
AARON.FIEGEN_South Dakota St.,South Dakota St.,3,0,0.517,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AARON.HENRY_Michigan St.,Michigan St.,7,7,248.199,428,115,8,35,25,11,9,21,14,0.216,0.422,0.487,0.461,45,102,0.441,4,17,0.235,21,34,0.618,19,37,0.514,22,48,0.458
AARON.MURPHY_UC Davis,UC Davis,5,0,25,46,10,2,6,0,3,1,1,3,0.2,0.667,0.725,0.6,3,5,0.6,0,0,0,4,4,1,3,5,0.6,0,0,0
AARON.WHEELER_Purdue,Purdue,4,0,78.784,139,28,5,17,5,2,1,1,9,0.214,0.875,0.766,0.786,8,14,0.571,6,9,0.667,6,9,0.667,2,5,0.4,0,0,0
AARON.WIGGINS_Maryland,Maryland,7,7,237.551,410,109,7,40,15,9,2,13,16,0.188,0.488,0.58,0.553,41,85,0.482,12,39,0.308,15,19,0.789,19,28,0.679,10,18,0.556
ABBA.LAWAL_Alabama A&M,Alabama A&M,6,1,46.867,92,3,2,8,0,1,3,0,6,0.333,0,0.306,0,0,3,0,0,0,0,3,4,0.75,0,2,0,0,1,0
ABDOU.NDIAYE_Illinois St.,Illinois St.,3,0,39.783,77,7,3,5,2,1,2,2,5,0.2,1,0.7,0.7,3,5,0.6,1,3,0.333,0,0,0,2,2,1,0,0,0
ABDOU.TSIMBILA_Penn St.,Penn St.,5,0,27.916,54,7,6,4,1,0,3,0,9,0.5,0.667,0.371,0.375,3,8,0.375,0,0,0,1,3,0.333,3,6,0.5,0,2,0
ABDOUL.KARIM.COULIBALY_Pittsburgh,Pittsburgh,4,3,79.85,143,17,4,8,3,2,2,3,13,0.286,0.429,0.504,0.536,7,14,0.5,1,2,0.5,2,6,0.333,6,11,0.545,0,1,0
ABDUL.ADO_Mississippi St.,Mississippi St.,6,6,175.135,316,51,20,28,4,3,19,8,7,0.3,0.7,0.67,0.667,20,30,0.667,0,0,0,11,17,0.647,19,22,0.864,1,8,0.125
ABDUL.MOHAMED_Montana St.,Montana St.,7,7,186.566,337,65,12,41,9,8,3,11,17,0.273,0.261,0.597,0.557,23,44,0.523,3,8,0.375,16,22,0.727,14,21,0.667,6,15,0.4
ABE.EAGLE_Gonzaga,Gonzaga,1,0,3.75,9,2,0,1,0,0,0,0,1,0,1,0.5,0.5,1,2,0.5,0,1,0,0,0,0,1,1,1,0,0,0
ABE.KINRADE_Air Force,Air Force,5,0,68.466,122,19,4,3,3,4,1,5,10,0.091,0.833,0.71,0.682,6,11,0.545,3,5,0.6,4,5,0.8,2,4,0.5,1,2,0.5
ABOOD.ABUISSA_Sacred Heart,Sacred Heart,1,0,2.267,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABOU.OUSMANE_North Texas,North Texas,8,0,52.115,97,16,7,8,0,0,3,3,11,0.059,0.143,0.423,0.412,7,17,0.412,0,0,0,2,4,0.5,7,14,0.5,0,3,0
ABU.KIGAB_Boise St.,Boise St.,3,3,65.75,126,13,4,5,8,1,3,7,9,0.105,0.667,0.279,0.184,3,19,0.158,1,7,0.143,6,9,0.667,0,2,0,2,10,0.2
ADAM.ANHOLD_Western Ill.,Western Ill.,3,0,19.416,36,6,2,1,2,1,0,3,4,0,0.333,0.429,0.429,3,7,0.429,0,0,0,0,0,0,2,6,0.333,1,1,1
ADAM.COOK_Cincinnati,Cincinnati,2,1,1.417,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM.FLAGLER_Baylor,Baylor,7,0,153.936,299,38,8,12,7,2,0,3,8,0.333,0.545,0.398,0.321,11,42,0.262,5,23,0.217,11,12,0.917,1,4,0.25,5,15,0.333
ADAM.KUNKEL_Xavier,Xavier,6,1,113.118,207,41,0,7,10,5,0,4,14,0.093,0.562,0.466,0.453,16,43,0.372,7,29,0.241,2,2,1,4,7,0.571,5,7,0.714
ADAM.LULKA_Albany (NY),Albany (NY),3,0,37.667,62,4,1,7,2,0,0,0,2,0,1,0.576,0.667,2,3,0.667,0,0,0,0,1,0,2,3,0.667,0,0,0
ADAM.MILLER_Illinois,Illinois,8,8,186.951,359,59,3,23,6,3,0,7,13,0.309,0.619,0.49,0.464,21,55,0.382,9,29,0.31,8,11,0.727,9,15,0.6,3,11,0.273
ADAM.SEIKO_San Diego St.,San Diego St.,7,0,136.533,250,17,1,11,6,4,0,1,11,0.368,1,0.373,0.237,3,19,0.158,3,19,0.158,8,8,1,0,0,0,0,0,0
ADAM.THISTLEWOOD_Colorado St.,Colorado St.,6,6,166.601,296,60,8,26,10,1,3,5,17,0.364,1,0.775,0.758,19,33,0.576,12,25,0.48,10,12,0.833,7,7,1,0,1,0
ADAMA.SANOGO_UConn,UConn,6,6,125.999,232,65,11,30,4,3,8,5,19,0.146,0.448,0.611,0.604,29,48,0.604,0,0,0,7,11,0.636,24,34,0.706,5,14,0.357
ADDISON.WALLACE_Texas St.,Texas St.,2,0,12.317,24,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADE.ADEBAYO_UC Davis,UC Davis,6,0,74.401,140,2,0,7,0,0,5,6,10,0.5,1,0.5,0.5,1,2,0.5,0,1,0,0,0,0,1,1,1,0,0,0
ADETOKUNBO.BAKARE_NJIT,NJIT,2,0,20.05,40,5,0,3,0,0,0,2,2,0.333,0.5,0.417,0.417,2,6,0.333,1,4,0.25,0,0,0,1,1,1,0,1,0
ADHAM.ELEEDA_Northern Ky.,Northern Ky.,2,2,27.883,49,0,1,2,0,0,0,0,2,0.455,0,0,0,0,11,0,0,10,0,0,0,0,0,0,0,0,1,0
ADMIR.BESOVIC_Little Rock,Little Rock,3,0,29.651,59,12,4,9,1,0,1,4,1,0.214,0.6,0.401,0.357,5,14,0.357,0,0,0,2,2,1,2,7,0.286,3,7,0.429
ADONG.MAKUOI_Northern Ill.,Northern Ill.,4,1,45.816,85,11,3,5,0,1,1,1,13,0.111,0.667,0.464,0.333,3,9,0.333,0,0,0,5,6,0.833,3,6,0.5,0,3,0
ADONIS.ARMS_Winthrop,Winthrop,3,0,35.432,73,22,3,6,2,1,1,3,3,0.231,0.571,0.674,0.654,7,13,0.538,3,8,0.375,5,7,0.714,3,3,1,1,2,0.5
ADRIAN.BALDWIN_VCU,VCU,5,5,189.583,330,44,1,12,21,9,0,16,13,0.162,0.214,0.493,0.419,14,37,0.378,3,14,0.214,13,16,0.812,6,12,0.5,5,11,0.455
ADRIAN.DELPH_Appalachian St.,Appalachian St.,5,5,189.749,339,84,5,22,4,3,2,11,10,0.241,0.586,0.456,0.434,29,83,0.349,14,43,0.326,12,19,0.632,6,16,0.375,9,24,0.375
ADRIAN.MARTIN_Western Mich.,Western Mich.,4,3,88.033,164,23,3,5,1,1,0,3,4,0.316,0.75,0.55,0.526,8,19,0.421,4,12,0.333,3,4,0.75,4,5,0.8,0,2,0
ADRIAN.NELSON_Northern Ky.,Northern Ky.,2,2,69.482,112,15,8,14,2,2,1,5,4,0.333,0.857,0.754,0.778,7,9,0.778,0,0,0,1,2,0.5,6,6,1,1,3,0.333
ADRIAN.RODRIGUEZ_UTSA,UTSA,2,0,6.667,15,2,0,0,0,2,0,0,2,0.333,1,0.333,0.333,1,3,0.333,0,0,0,0,0,0,1,3,0.333,0,0,0
ADRIEN.NUNEZ_Michigan,Michigan,1,0,1.317,3,2,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
AGUEK.AROP_San Diego St.,San Diego St.,5,1,50.484,93,14,5,1,2,1,0,3,11,0.154,0.667,0.485,0.462,6,13,0.462,0,2,0,2,3,0.667,6,9,0.667,0,2,0
AHAMADOU.FOFANA_Canisius,Canisius,3,3,93.817,178,33,0,7,7,3,0,5,9,0.31,0.231,0.518,0.5,13,29,0.448,3,15,0.2,4,6,0.667,2,3,0.667,8,11,0.727
AHER.UGUAK_Loyola Chicago,Loyola Chicago,5,5,116.364,195,31,8,12,7,6,0,7,9,0.182,0.571,0.675,0.659,14,22,0.636,1,4,0.25,2,2,1,12,15,0.8,1,3,0.333
AHMARD.HARVEY_Coastal Carolina,Coastal Carolina,5,0,35.001,74,2,1,3,1,1,1,4,3,0.5,1,0.25,0.25,1,4,0.25,0,0,0,0,0,0,1,4,0.25,0,0,0
AHMED.ALI_Portland,Portland,1,1,38.983,73,21,0,1,5,2,0,4,4,0.158,0,0.491,0.5,8,19,0.421,3,7,0.429,2,5,0.4,4,8,0.5,1,4,0.25
AHMIL.FLOWERS_High Point,High Point,3,3,71.132,123,10,3,2,2,3,1,4,4,0.118,0.5,0.246,0.235,4,17,0.235,0,4,0,2,7,0.286,2,4,0.5,2,9,0.222
AHMIR.LANGLAIS_Western Caro.,Western Caro.,2,0,2.05,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
AHREN.FREEMAN_New Orleans,New Orleans,7,0,152.816,323,56,4,26,16,8,4,17,19,0.205,0.696,0.607,0.603,23,39,0.59,1,2,0.5,9,15,0.6,18,25,0.72,4,12,0.333
AHRON.ULIS_Iowa,Iowa,3,0,8.683,21,0,1,2,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
AIDAN.CARPENTER_Siena,Siena,3,2,72.949,120,14,2,3,2,0,1,6,6,0.25,0.333,0.413,0.438,6,16,0.375,2,5,0.4,0,2,0,4,8,0.5,0,3,0
AIDAN.IGIEHON_Louisville,Louisville,1,0,4.25,11,2,0,0,0,1,1,0,3,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
